Employee ID,Name,School Code,Designation,Email,Phone
GBU-LARGE-F001,Dr. Ananya Mishra,ICT,Professor,ananya.mishra.1@example.test,9765000001
GBU-LARGE-F002,Dr. Dev Bansal,ICT,Associate Professor,dev.bansal.2@example.test,9765000002
GBU-LARGE-F003,Dr. Kavya Agarwal,ICT,Associate Professor,kavya.agarwal.3@example.test,9765000003
GBU-LARGE-F004,Dr. Naksh Rao,ICT,Assistant Professor,naksh.rao.4@example.test,9765000004
GBU-LARGE-F005,Dr. Riya Verma,ICT,Assistant Professor,riya.verma.5@example.test,9765000005
GBU-LARGE-F006,Dr. Samarth Patel,ICT,Assistant Professor,samarth.patel.6@example.test,9765000006
GBU-LARGE-F007,Dr. Vanya Kapoor,ICT,Assistant Professor,vanya.kapoor.7@example.test,9765000007
GBU-LARGE-F008,Dr. Aarav Jain,ICT,Assistant Professor,aarav.jain.8@example.test,9765000008
GBU-LARGE-F009,Dr. Ananya Khan,SOE,Professor,ananya.khan.9@example.test,9765000009
GBU-LARGE-F010,Dr. Dev Singh,SOE,Associate Professor,dev.singh.10@example.test,9765000010
GBU-LARGE-F011,Dr. Kavya Yadav,SOE,Associate Professor,kavya.yadav.11@example.test,9765000011
GBU-LARGE-F012,Dr. Naksh Chauhan,SOE,Assistant Professor,naksh.chauhan.12@example.test,9765000012
GBU-LARGE-F013,Dr. Riya Malhotra,SOE,Assistant Professor,riya.malhotra.13@example.test,9765000013
GBU-LARGE-F014,Dr. Samarth Srivastava,SOE,Assistant Professor,samarth.srivastava.14@example.test,9765000014
GBU-LARGE-F015,Dr. Vanya Gupta,SOE,Assistant Professor,vanya.gupta.15@example.test,9765000015
GBU-LARGE-F016,Dr. Aarav Mehta,SOE,Assistant Professor,aarav.mehta.16@example.test,9765000016
GBU-LARGE-F017,Dr. Ananya Saxena,SOM,Professor,ananya.saxena.17@example.test,9765000017
GBU-LARGE-F018,Dr. Dev Saini,SOM,Associate Professor,dev.saini.18@example.test,9765000018
GBU-LARGE-F019,Dr. Kavya Chandra,SOM,Associate Professor,kavya.chandra.19@example.test,9765000019
GBU-LARGE-F020,Dr. Naksh Kumar,SOM,Assistant Professor,naksh.kumar.20@example.test,9765000020
GBU-LARGE-F021,Dr. Riya Joshi,SOM,Assistant Professor,riya.joshi.21@example.test,9765000021
GBU-LARGE-F022,Dr. Samarth Tiwari,SOM,Assistant Professor,samarth.tiwari.22@example.test,9765000022
GBU-LARGE-F023,Dr. Vanya Arora,SOM,Assistant Professor,vanya.arora.23@example.test,9765000023
GBU-LARGE-F024,Dr. Aarav Sharma,SOM,Assistant Professor,aarav.sharma.24@example.test,9765000024
GBU-LARGE-F025,Dr. Ananya Mishra,SOBT,Professor,ananya.mishra.25@example.test,9765000025
GBU-LARGE-F026,Dr. Dev Bansal,SOBT,Associate Professor,dev.bansal.26@example.test,9765000026
GBU-LARGE-F027,Dr. Kavya Agarwal,SOBT,Associate Professor,kavya.agarwal.27@example.test,9765000027
GBU-LARGE-F028,Dr. Naksh Rao,SOBT,Assistant Professor,naksh.rao.28@example.test,9765000028
GBU-LARGE-F029,Dr. Riya Verma,SOBT,Assistant Professor,riya.verma.29@example.test,9765000029
GBU-LARGE-F030,Dr. Samarth Patel,SOBT,Assistant Professor,samarth.patel.30@example.test,9765000030
GBU-LARGE-F031,Dr. Vanya Kapoor,SOBT,Assistant Professor,vanya.kapoor.31@example.test,9765000031
GBU-LARGE-F032,Dr. Aarav Jain,SOBT,Assistant Professor,aarav.jain.32@example.test,9765000032
GBU-LARGE-F033,Dr. Ananya Khan,SOVSAS,Professor,ananya.khan.33@example.test,9765000033
GBU-LARGE-F034,Dr. Dev Singh,SOVSAS,Associate Professor,dev.singh.34@example.test,9765000034
GBU-LARGE-F035,Dr. Kavya Yadav,SOVSAS,Associate Professor,kavya.yadav.35@example.test,9765000035
GBU-LARGE-F036,Dr. Naksh Chauhan,SOVSAS,Assistant Professor,naksh.chauhan.36@example.test,9765000036
