Enrollment/Roll Number,Enrollment Number,Academic Session,Full Name,Branch,Mobile Number,Address,Department,School,Current Year of Study,Current Semester,Section
235ICS001,2300100001,2026-2027,Aarav Yadav,Integrated B.Tech Computer Science and Engineering,9876000001,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS002,2300100002,2026-2027,Aditi Tiwari,Integrated B.Tech Computer Science and Engineering,9876000002,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS003,2300100003,2026-2027,Advik Khan,Integrated B.Tech Computer Science and Engineering,9876000003,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS004,2300100004,2026-2027,Ananya Kumar,Integrated B.Tech Computer Science and Engineering,9876000004,Delhi,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS005,2300100005,2026-2027,Arjun Kapoor,Integrated B.Tech Computer Science and Engineering,9876000005,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS006,2300100006,2026-2027,Avni Saini,Integrated B.Tech Computer Science and Engineering,9876000006,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS007,2300100007,2026-2027,Dev Verma,Integrated B.Tech Computer Science and Engineering,9876000007,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS008,2300100008,2026-2027,Diya Mehta,Integrated B.Tech Computer Science and Engineering,9876000008,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS009,2300100009,2026-2027,Ishaan Agarwal,Integrated B.Tech Computer Science and Engineering,9876000009,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS010,2300100010,2026-2027,Kavya Srivastava,Integrated B.Tech Computer Science and Engineering,9876000010,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235ICS011,2300100011,2026-2027,Krish Mishra,Integrated B.Tech Computer Science and Engineering,9876000011,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS012,2300100012,2026-2027,Meera Chauhan,Integrated B.Tech Computer Science and Engineering,9876000012,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS013,2300100013,2026-2027,Naksh Arora,Integrated B.Tech Computer Science and Engineering,9876000013,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS014,2300100014,2026-2027,Navya Singh,Integrated B.Tech Computer Science and Engineering,9876000014,Delhi,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS015,2300100015,2026-2027,Pranav Joshi,Integrated B.Tech Computer Science and Engineering,9876000015,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS016,2300100016,2026-2027,Riya Jain,Integrated B.Tech Computer Science and Engineering,9876000016,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS017,2300100017,2026-2027,Rohan Chandra,Integrated B.Tech Computer Science and Engineering,9876000017,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS018,2300100018,2026-2027,Saanvi Patel,Integrated B.Tech Computer Science and Engineering,9876000018,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS019,2300100019,2026-2027,Samarth Saxena,Integrated B.Tech Computer Science and Engineering,9876000019,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235ICS020,2300100020,2026-2027,Siya Rao,Integrated B.Tech Computer Science and Engineering,9876000020,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235IEC001,2300100021,2026-2027,Vedant Gupta,Electronics and Communication Engineering,9876000021,Greater Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC002,2300100022,2026-2027,Vanya Bansal,Electronics and Communication Engineering,9876000022,Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC003,2300100023,2026-2027,Vihaan Malhotra,Electronics and Communication Engineering,9876000023,Ghaziabad Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC004,2300100024,2026-2027,Zara Sharma,Electronics and Communication Engineering,9876000024,Delhi,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC005,2300100025,2026-2027,Aarav Yadav,Electronics and Communication Engineering,9876000025,Meerut Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC006,2300100026,2026-2027,Aditi Tiwari,Electronics and Communication Engineering,9876000026,Agra Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC007,2300100027,2026-2027,Advik Khan,Electronics and Communication Engineering,9876000027,Mathura Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC008,2300100028,2026-2027,Ananya Kumar,Electronics and Communication Engineering,9876000028,Aligarh Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC009,2300100029,2026-2027,Arjun Kapoor,Electronics and Communication Engineering,9876000029,Hapur Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC010,2300100030,2026-2027,Avni Saini,Electronics and Communication Engineering,9876000030,Bulandshahr Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,A
235IEC011,2300100031,2026-2027,Dev Verma,Electronics and Communication Engineering,9876000031,Greater Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC012,2300100032,2026-2027,Diya Mehta,Electronics and Communication Engineering,9876000032,Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC013,2300100033,2026-2027,Ishaan Agarwal,Electronics and Communication Engineering,9876000033,Ghaziabad Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC014,2300100034,2026-2027,Kavya Srivastava,Electronics and Communication Engineering,9876000034,Delhi,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC015,2300100035,2026-2027,Krish Mishra,Electronics and Communication Engineering,9876000035,Meerut Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC016,2300100036,2026-2027,Meera Chauhan,Electronics and Communication Engineering,9876000036,Agra Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC017,2300100037,2026-2027,Naksh Arora,Electronics and Communication Engineering,9876000037,Mathura Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC018,2300100038,2026-2027,Navya Singh,Electronics and Communication Engineering,9876000038,Aligarh Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
235IEC019,2300100039,2026-2027,Pranav Joshi,Electronics and Communication Engineering,9876000039,Hapur Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,3,5,B
